z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
18.75,4.44,2.18,0,0,0.493288286231625,0.493288286231625,0.469041575982343,0
56.25,5.92,2.67,0,0,0.443471156521669,0.443471156521669,0.424264068711929,0
93.75,6.91,2.83,0,0,0.404145188432738,0.404145188432738,0.387298334620742,0
131.25,7.73,2.84,0,0,0.369684550213647,0.369684550213647,0.355902608401044,0
168.75,8.43,2.75,0,0,0.341565025531987,0.341565025531987,0.326598632371091,0
206.25,9.02,2.57,0,0,0.310912635102961,0.310912635102961,0.297209241668784,0
243.75,9.52,2.34,0,0,0.282842712474619,0.282842712474619,0.270801280154532,0
281.25,9.93,2.06,0,0,0.258198889747161,0.258198889747161,0.248327740429189,0
318.75,10.25,1.75,0,0,0.238047614284762,0.238047614284762,0.227303028283098,0
356.25,10.47,1.44,0,0,0.216024689946929,0.216024689946929,0.204124145231932,0
393.75,10.62,1.12,0,0,0.191485421551268,0.191485421551268,0.182574185835056,0
431.25,10.7,0.82,0,0,0.173205080756888,0.173205080756888,0.163299316185545,0
468.75,10.71,0.55,0,0,0.152752523165195,0.152752523165195,0.14142135623731,0
506.25,10.67,0.31,0,0,0.129099444873581,0.129099444873581,0.122474487139159,0
543.75,10.59,0.12,0,0,0.115470053837925,0.115470053837925,0.108012344973464,0
581.25,10.48,-0.02,0,0,0.1,0.1,0.0912870929175277,0
618.75,10.36,-0.11,0,0,0.0816496580927726,0.0816496580927726,0.0816496580927726,0
656.25,10.24,-0.16,0,0,0.0816496580927726,0.0816496580927726,0.0707106781186548,0
693.75,10.13,-0.17,0,0,0.0577350269189626,0.0577350269189626,0.0577350269189626,0
731.25,10.04,-0.15,0,0,0.0577350269189626,0.0577350269189626,0.0577350269189626,0
768.75,9.99,-0.11,0,0,0.0577350269189626,0.0577350269189626,0.0408248290463863,0
806.25,9.96,-0.06,0,0,0,0,0,0
843.75,9.95,-0.02,0,0,0,0,0,0
881.25,9.96,0.01,0,0,0,0,0,0
918.75,9.98,0.02,0,0,0,0,0,0
956.25,9.99,0.02,0,0,0,0,0,0
993.75,10,0.02,0,0,0,0,0,0
1031.25,9.99,0.02,0,0,0,0,0,0
1068.75,9.99,0.02,0,0,0,0,0,0
1106.25,9.99,0.01,0,0,0,0,0,0
1143.75,10,0.01,0,0,0,0,0,0
1181.25,10,0.01,0,0,0,0,0,0
1218.75,10,0.01,0,0,0,0,0,0
1256.25,10,0,0,0,0,0,0,0
1293.75,10,0,0,0,0,0,0,0
1331.25,10,0,0,0,0,0,0,0
1368.75,10,0,0,0,0,0,0,0
1406.25,10,0,0,0,0,0,0,0
1443.75,10,0,0,0,0,0,0,0
1481.25,10,0,0,0,0,0,0,0
