z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
2.0,7.6009024595420822,0,0,0,0.027987834467522694,0.027987834467522694,0.0012271538285719926,0
6.0,8.6995147482101913,0,0,0,0.036833599356637846,0.036833599356637846,0.0024541228522912289,0
10.0,9.2103403719761836,0,0,0,0.041849998445221442,0.041849998445221442,0.0036807222941358832,0
14.0,9.5468126085973957,0,0,0,0.045520927528229671,0.045520927528229671,0.0049067674327418018,0
18.0,9.7981270368783022,0,0,0,0.048470267337354545,0.048470267337354545,0.0061320736302208582,0
22.0,9.9987977323404529,0,0,0,0.050960737029499895,0.050960737029499895,0.0073564563599667430,0
26.0,10.165851817003619,0,0,0,0.053130102447464536,0.053130102447464536,0.0085797312344439904,0
30.0,10.308952660644293,0,0,0,0.055060412261762261,0.055060412261762261,0.0098017140329560611,0
34.0,10.434115803598299,0,0,0,0.056804827271706174,0.056804827271706174,0.011022220729388306,0
38.0,10.545341438708522,0,0,0,0.058399929180332058,0.058399929180332058,0.012241067519921621,0
42.0,10.645424897265505,0,0,0,0.059872057878842457,0.059872057878842457,0.013458070850712617,0
46.0,10.736396675471232,0,0,0,0.061240861889090337,0.061240861889090337,0.014673047445536175,0
50.0,10.819778284410283,0,0,0,0.062521420755577733,0.062521420755577733,0.015885814333386147,0
54.0,10.896739325546411,0,0,0,0.063725580802889245,0.063725580802889245,0.017096188876030122,0
58.0,10.968198289528557,0,0,0,0.064862831815034008,0.064862831815034008,0.018303988795514096,0
62.0,11.034889664027229,0,0,0,0.065940902821335218,0.065940902821335218,0.019509032201612826,0
66.0,11.097410021008562,0,0,0,0.066966179089526096,0.066966179089526096,0.020711137619221859,0
70.0,11.156250521031495,0,0,0,0.067944001436433463,0.067944001436433463,0.021910124015686983,0
74.0,11.211820372186306,0,0,0,0.068878885815585253,0.068878885815585253,0.023105810828067112,0
78.0,11.264464105671729,0,0,0,0.069774687527447865,0.069774687527447865,0.024298017990326388,0
82.0,11.314474526246391,0,0,0,0.070634726108556617,0.070634726108556617,0.025486565960451457,0
86.0,11.362102575235644,0,0,0,0.071461881752040754,0.071461881752040754,0.026671275747489839,0
90.0,11.407564949312402,0,0,0,0.072258670756311108,0.072258670756311108,0.027851968938505306,0
94.0,11.451050061252142,0,0,0,0.073027305282324997,0.073027305282324997,0.029028467725446233,0
98.0,11.492722757652709,0,0,0,0.073769741204357503,0.073769741204357503,0.030200594931922810,0
102.0,11.532728092266408,0,0,0,0.074487716810497276,0.074487716810497276,0.031368174039889153,0
106.0,11.571194373094205,0,0,0,0.075182784389005011,0.075182784389005011,0.032531029216226297,0
110.0,11.608235644774552,0,0,0,0.075856336224563892,0.075856336224563892,0.033688985339222009,0
114.0,11.643953727376633,0,0,0,0.076509626158927480,0.076509626158927480,0.034841868024943455,0
118.0,11.678439903447801,0,0,0,0.077143787600258293,0.077143787600258293,0.035989503653498810,0
122.0,11.711776323715394,0,0,0,0.077759848665422876,0.077759848665422876,0.037131719395183754,0
126.0,11.744037185933616,0,0,0,0.078358744989750581,0.078358744989750581,0.038268343236508982,0
130.0,11.775289729437720,0,0,0,0.078941330625456177,0.078941330625456177,0.039399204006104811,0
134.0,11.805595078933049,0,0,0,0.079508387363359370,0.079508387363359370,0.040524131400498986,0
138.0,11.835008964139341,0,0,0,0.080060632745791144,0.080060632745791144,0.041642956009763719,0
142.0,11.863582336583399,0,0,0,0.080598726986680247,0.080598726986680247,0.042755509343028214,0
146.0,11.891361900690473,0,0,0,0.081123278974137430,0.081123278974137430,0.043861623853852769,0
150.0,11.918390573078392,0,0,0,0.081634851498735561,0.081634851498735561,0.044961132965460657,0
154.0,11.944707881395766,0,0,0,0.082133965825142138,0.082133965825142138,0.046053871095824005,0
158.0,11.970350312009105,0,0,0,0.082621105704314871,0.082621105704314871,0.047139673682599768,0
162.0,11.995351614214520,0,0,0,0.083096720907002708,0.083096720907002708,0.048218377207912277,0
166.0,12.019743067338680,0,0,0,0.083561230345949727,0.083561230345949727,0.049289819222978405,0
170.0,12.043553716032399,0,0,0,0.084015024843327943,0.084015024843327943,0.050353838372571763,0
174.0,12.066810578196666,0,0,0,0.084458469591018118,0.084458469591018118,0.051410274419322166,0
178.0,12.089538829274222,0,0,0,0.084891906344027046,0.084891906344027046,0.052458968267846899,0
182.0,12.111761966058932,0,0,0,0.085315655381264136,0.085315655381264136,0.053499761988709718,0
186.0,12.133501952695338,0,0,0,0.085730017262861682,0.085730017262861682,0.054532498842204652,0
190.0,12.154779351142624,0,0,0,0.086135274409016804,0.086135274409016804,0.055557023301960218,0
194.0,12.175613438045465,0,0,0,0.086531692521808978,0.086531692521808978,0.056573181078361318,0
198.0,12.196022309676673,0,0,0,0.086919521868482064,0.086919521868482064,0.057580819141784534,0
202.0,12.216022976383341,0,0,0,0.087298998442174633,0.087298998442174633,0.058579785745643889,0
206.0,12.235631447771718,0,0,0,0.087670345013961426,0.087670345013961426,0.059569930449243337,0
210.0,12.254862809699606,0,0,0,0.088033772088262033,0.088033772088262033,0.060551104140432556,0
214.0,12.273731294003989,0,0,0,0.088389478772133656,0.088389478772133656,0.061523159058062687,0
218.0,12.292250341771226,0,0,0,0.088737653567645292,0.088737653567645292,0.062485948814238634,0
222.0,12.310432660854417,0,0,0,0.089078475095398929,0.089078475095398929,0.063439328416364557,0
226.0,12.328290278254423,0,0,0,0.089412112756287576,0.089412112756287576,0.064383154288979144,0
