z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
1.0,6.907755278982137,0,0,0,0.023534897364430207,0.023534897364430207,0.0006135884649154476,0
3.0,8.006367567650246,0,0,0,0.030973569639952583,0.030973569639952583,0.0012271538285719926,0
5.0,8.517193191416238,0,0,0,0.03519254883987365,0.03519254883987365,0.001840672990580482,0
7.0,8.85366542803745,0,0,0,0.03828059179327385,0.03828059179327385,0.002454122852291229,0
9.0,9.104979856318357,0,0,0,0.040762359029316075,0.040762359029316075,0.0030674803176636628,0
11.0,9.305650551780507,0,0,0,0.042858803291749355,0.042858803291749355,0.003680722294135883,0
13.0,9.472704636443673,0,0,0,0.04468579933991328,0.04468579933991328,0.004293825693494082,0
15.0,9.615805480084347,0,0,0,0.04631236596719364,0.04631236596719364,0.004906767432741802,0
17.0,9.740968623038354,0,0,0,0.04778322760245933,0.04778322760245933,0.005519524434968994,0
19.0,9.852194258148577,0,0,0,0.04912916531867443,0.04912916531867443,0.006132073630220858,0
21.0,9.95227771670556,0,0,0,0.05037234624661663,0.05037234624661663,0.006744391956366405,0
23.0,10.043249494911286,0,0,0,0.051529309426602145,0.051529309426602145,0.007356456359966743,0
25.0,10.126631103850338,0,0,0,0.05261275074184653,0.05261275074184653,0.007968243797143013,0
27.0,10.203592144986466,0,0,0,0.053632646322021665,0.053632646322021665,0.00857973123444399,0
29.0,10.275051108968611,0,0,0,0.05459698987324636,0.05459698987324636,0.009190895649713272,0
31.0,10.341742483467284,0,0,0,0.05551229377926176,0.05551229377926176,0.009801714032956061,0
33.0,10.404262840448617,0,0,0,0.056383939836599374,0.056383939836599374,0.010412163387205459,0
35.0,10.46310334047155,0,0,0,0.057216431015944216,0.057216431015944216,0.011022220729388306,0
37.0,10.51867319162636,0,0,0,0.05801357617293267,0.05801357617293267,0.011631863091190476,0
39.0,10.571316925111784,0,0,0,0.05877862818307203,0.05877862818307203,0.012241067519921621,0
41.0,10.621327345686446,0,0,0,0.05951438900428058,0.05951438900428058,0.012849811079379318,0
43.0,10.668955394675699,0,0,0,0.06022329079428077,0.06022329079428077,0.013458070850712617,0
45.0,10.714417768752456,0,0,0,0.060907459387932864,0.060907459387932864,0.014065823933284921,0
47.0,10.757902880692196,0,0,0,0.061568764575637216,0.061568764575637216,0.014673047445536175,0
49.0,10.799575577092764,0,0,0,0.06220886036620913,0.06220886036620913,0.015279718525844345,0
51.0,10.839580911706463,0,0,0,0.06282921755245652,0.06282921755245652,0.015885814333386147,0
53.0,10.87804719253426,0,0,0,0.06343115029207583,0.06343115029207583,0.01649131204899699,0
55.0,10.915088464214607,0,0,0,0.06401583798577128,0.06401583798577128,0.01709618887603012,0
57.0,10.950806546816688,0,0,0,0.06458434342370846,0.06458434342370846,0.017700422041214876,0
59.0,10.985292722887856,0,0,0,0.06513762794414305,0.06513762794414305,0.018303988795514096,0
61.0,11.018629143155449,0,0,0,0.06567656417982355,0.06567656417982355,0.01890686641498062,0
63.0,11.05089000537367,0,0,0,0.0662019468418033,0.0662019468418033,0.019509032201612826,0
65.0,11.082142548877775,0,0,0,0.06671450189499105,0.06671450189499105,0.020110463484209192,0
67.0,11.112447898373103,0,0,0,0.06721489440695437,0.06721489440695437,0.02071113761922186,0
69.0,11.141861783579396,0,0,0,0.06770373529534877,0.06770373529534877,0.021311031991609136,0
71.0,11.170435156023453,0,0,0,0.06818158715569006,0.06818158715569006,0.021910124015686983,0
73.0,11.198214720130528,0,0,0,0.06864896931697234,0.06864896931697234,0.022508391135979286,0
75.0,11.225243392518447,0,0,0,0.0691063622456139,0.0691063622456139,0.023105810828067112,0
77.0,11.251560700835821,0,0,0,0.069554211396727,0.069554211396727,0.02370236059943672,0
79.0,11.27720313144916,0,0,0,0.0699929305945074,0.0699929305945074,0.02429801799032639,0
81.0,11.302204433654575,0,0,0,0.07042290500968482,0.07042290500968482,0.024892760574572015,0
83.0,11.326595886778735,0,0,0,0.07084449379074897,0.07084449379074897,0.025486565960451457,0
