case,observable,unit,z_mm,mae,mean_relative_error_percent,role
1a,D10,um,25,0.7,3,source plane
1a,D10,um,50,1.7,6,comparison plane
1a,D10,um,100,4.6,9,comparison plane
1a,D10,um,200,2.8,6,comparison plane
1a,u,m/s,25,0.6,8,source plane
1a,u,m/s,50,0.5,6,comparison plane
1a,u,m/s,100,0.8,18,comparison plane
1a,u,m/s,200,0.7,31,comparison plane
1a,v,m/s,25,0.2,8,source plane
1a,v,m/s,50,0.2,22,comparison plane
1a,v,m/s,100,0.2,54,comparison plane
1a,v,m/s,200,0.2,52,comparison plane
2a,D10,um,25,12.7,35,comparison plane
2a,D10,um,50,2.5,7,comparison plane
2a,D10,um,100,8.6,15,comparison plane
2a,D10,um,200,4.5,8,comparison plane
2a,u,m/s,25,3.8,59,comparison plane
2a,u,m/s,50,1.0,17,comparison plane
2a,u,m/s,100,1.1,31,comparison plane
2a,u,m/s,200,0.7,35,comparison plane
2a,v,m/s,25,2.2,73,comparison plane
2a,v,m/s,50,0.4,27,comparison plane
2a,v,m/s,100,0.4,114,comparison plane
2a,v,m/s,200,0.3,91,comparison plane
