z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
6.25,8,0,0,265,0,0,0,0.05773502691896258
18.75,8,0,0,265,0,0,0,0.05773502691896258
31.25,8,0,0,265,0,0,0,0.05773502691896258
43.75,8,0,0,265,0,0,0,0.05773502691896258
56.25,8,0,0,265,0,0,0,0
68.75,8,0,0,265,0,0,0,0
81.25,8,0,0,265,0,0,0,0
93.75,8,0,0,265,0,0,0,0
106.25,8,0,0,265.0625,0,0,0,0
118.75,8,0,0,265.1875,0,0,0,0
131.25,8,0,0,265.3125,0,0,0,0
143.75,8,0,0,265.4375,0,0,0,0
156.25,8,0,0,265.5625,0,0,0,0
168.75,8,0,0,265.6875,0,0,0,0
181.25,8,0,0,265.8125,0,0,0,0
193.75,8,0,0,265.9375,0,0,0,0
206.25,8,0,0,266.0625,0,0,0,0
218.75,8,0,0,266.1875,0,0,0,0
231.25,8,0,0,266.3125,0,0,0,0
243.75,8,0,0,266.4375,0,0,0,0
256.25,8,0,0,266.5625,0,0,0,0
268.75,8,0,0,266.6875,0,0,0,0
281.25,8,0,0,266.8125,0,0,0,0
293.75,8,0,0,266.9375,0,0,0,0
306.25,8,0,0,267.0625,0,0,0,0
318.75,8,0,0,267.1875,0,0,0,0
331.25,8,0,0,267.3125,0,0,0,0
343.75,8,0,0,267.4375,0,0,0,0
356.25,8,0,0,267.5625,0,0,0,0
368.75,8,0,0,267.6875,0,0,0,0
381.25,8,0,0,267.8125,0,0,0,0
393.75,8,0,0,267.9375,0,0,0,0
