z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
3.125,8,0,0,265,0,0,0,0.05773502691896258
9.375,8,0,0,265,0,0,0,0.05773502691896258
15.625,8,0,0,265,0,0,0,0.05773502691896258
21.875,8,0,0,265,0,0,0,0.05773502691896258
28.125,8,0,0,265,0,0,0,0.05773502691896258
34.375,8,0,0,265,0,0,0,0.05773502691896258
40.625,8,0,0,265,0,0,0,0.05773502691896258
46.875,8,0,0,265,0,0,0,0.05773502691896258
53.125,8,0,0,265,0,0,0,0
59.375,8,0,0,265,0,0,0,0
65.625,8,0,0,265,0,0,0,0
71.875,8,0,0,265,0,0,0,0
78.125,8,0,0,265,0,0,0,0
84.375,8,0,0,265,0,0,0,0
90.625,8,0,0,265,0,0,0,0
96.875,8,0,0,265,0,0,0,0
103.125,8,0,0,265.03125,0,0,0,0
109.375,8,0,0,265.09375,0,0,0,0
115.625,8,0,0,265.15625,0,0,0,0
121.875,8,0,0,265.21875,0,0,0,0
128.125,8,0,0,265.28125,0,0,0,0
134.375,8,0,0,265.34375,0,0,0,0
140.625,8,0,0,265.40625,0,0,0,0
146.875,8,0,0,265.46875,0,0,0,0
153.125,8,0,0,265.53125,0,0,0,0
159.375,8,0,0,265.59375,0,0,0,0
165.625,8,0,0,265.65625,0,0,0,0
171.875,8,0,0,265.71875,0,0,0,0
178.125,8,0,0,265.78125,0,0,0,0
184.375,8,0,0,265.84375,0,0,0,0
190.625,8,0,0,265.90625,0,0,0,0
196.875,8,0,0,265.96875,0,0,0,0
203.125,8,0,0,266.03125,0,0,0,0
209.375,8,0,0,266.09375,0,0,0,0
215.625,8,0,0,266.15625,0,0,0,0
221.875,8,0,0,266.21875,0,0,0,0
228.125,8,0,0,266.28125,0,0,0,0
234.375,8,0,0,266.34375,0,0,0,0
240.625,8,0,0,266.40625,0,0,0,0
246.875,8,0,0,266.46875,0,0,0,0
253.125,8,0,0,266.53125,0,0,0,0
259.375,8,0,0,266.59375,0,0,0,0
265.625,8,0,0,266.65625,0,0,0,0
271.875,8,0,0,266.71875,0,0,0,0
278.125,8,0,0,266.78125,0,0,0,0
284.375,8,0,0,266.84375,0,0,0,0
290.625,8,0,0,266.90625,0,0,0,0
296.875,8,0,0,266.96875,0,0,0,0
303.125,8,0,0,267.03125,0,0,0,0
309.375,8,0,0,267.09375,0,0,0,0
315.625,8,0,0,267.15625,0,0,0,0
321.875,8,0,0,267.21875,0,0,0,0
328.125,8,0,0,267.28125,0,0,0,0
334.375,8,0,0,267.34375,0,0,0,0
340.625,8,0,0,267.40625,0,0,0,0
346.875,8,0,0,267.46875,0,0,0,0
353.125,8,0,0,267.53125,0,0,0,0
359.375,8,0,0,267.59375,0,0,0,0
365.625,8,0,0,267.65625,0,0,0,0
371.875,8,0,0,267.71875,0,0,0,0
378.125,8,0,0,267.78125,0,0,0,0
384.375,8,0,0,267.84375,0,0,0,0
390.625,8,0,0,267.90625,0,0,0,0
396.875,8,0,0,267.96875,0,0,0,0
