z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
0.014062500000000000,2.0815281440283129,0,0,0,0.02,0.02,0.02,0
0.042187500000000003,2.4191902750478209,0,0,0,0.02,0.02,0.02,0
0.070312500000000000,2.5761942249210792,0,0,0,0.02,0.02,0.02,0
0.098437499999999997,2.6796100829251412,0,0,0,0.02,0.02,0.02,0
0.12656249999999999,2.7568524060673285,0,0,0,0.02,0.02,0.02,0
0.15468750000000001,2.8185292099423913,0,0,0,0.02,0.02,0.02,0
0.18281250000000002,2.8698738369820753,0,0,0,0.02,0.02,0.02,0
0.21093750000000000,2.9138563559405868,0,0,0,0.02,0.02,0.02,0
0.23906250000000001,2.9523256630936920,0,0,0,0.02,0.02,0.02,0
0.26718750000000002,2.9865112309802919,0,0,0,0.02,0.02,0.02,0
0.29531250000000003,3.0172722139446493,0,0,0,0.02,0.02,0.02,0
0.32343749999999999,3.0452326917296011,0,0,0,0.02,0.02,0.02,0
0.35156250000000000,3.0708603058138455,0,0,0,0.02,0.02,0.02,0
0.37968750000000001,3.0945145370868365,0,0,0,0.02,0.02,0.02,0
0.40781250000000002,3.1164776866961583,0,0,0,0.02,0.02,0.02,0
0.43593750000000003,3.1369755018636387,0,0,0,0.02,0.02,0.02,0
0.46406249999999999,3.1561913409618989,0,0,0,0.02,0.02,0.02,0
0.49218750000000000,3.1742761638179076,0,0,0,0.02,0.02,0.02,0
0.52031250000000007,3.1913557418955554,0,0,0,0.02,0.02,0.02,0
0.54843750000000002,3.2075359680015829,0,0,0,0.02,0.02,0.02,0
0.57656249999999998,3.2229068366497886,0,0,0,0.02,0.02,0.02,0
0.60468750000000004,3.2375454754888922,0,0,0,0.02,0.02,0.02,0
0.63281250000000000,3.2515184869600948,0,0,0,0.02,0.02,0.02,0
0.66093750000000007,3.2648837803549058,0,0,0,0.02,0.02,0.02,0
0.68906250000000002,3.2776920218219692,0,0,0,0.02,0.02,0.02,0
0.71718749999999998,3.2899877941131992,0,0,0,0.02,0.02,0.02,0
0.74531250000000004,3.3018105331182901,0,0,0,0.02,0.02,0.02,0
0.77343750000000000,3.3131952908351572,0,0,0,0.02,0.02,0.02,0
0.80156250000000007,3.3241733619997995,0,0,0,0.02,0.02,0.02,0
0.82968750000000002,3.3347728026059320,0,0,0,0.02,0.02,0.02,0
0.85781249999999998,3.3450188619520946,0,0,0,0.02,0.02,0.02,0
0.88593750000000004,3.3549343449641569,0,0,0,0.02,0.02,0.02,0
0.91406250000000000,3.3645399178748412,0,0,0,0.02,0.02,0.02,0
0.94218750000000007,3.3738543675650861,0,0,0,0.02,0.02,0.02,0
0.97031250000000002,3.3828948227491087,0,0,0,0.02,0.02,0.02,0
0.99843749999999998,3.3916769435476759,0,0,0,0.02,0.02,0.02,0
1.0265625000000000,3.4002150847208101,0,0,0,0.02,0.02,0.02,0
1.0546875000000000,3.4085224368333535,0,0,0,0.02,0.02,0.02,0
1.0828125000000000,3.4166111488392192,0,0,0,0.02,0.02,0.02,0
1.1109375000000001,3.4244924349441805,0,0,0,0.02,0.02,0.02,0
1.1390625000000001,3.4321766681063441,0,0,0,0.02,0.02,0.02,0
1.1671875000000000,3.4396734621305129,0,0,0,0.02,0.02,0.02,0
1.1953125000000000,3.4469917439864579,0,0,0,0.02,0.02,0.02,0
1.2234375000000000,3.4541398177156664,0,0,0,0.02,0.02,0.02,0
1.2515625000000001,3.4611254210739704,0,0,0,0.02,0.02,0.02,0
1.2796875000000001,3.4679557758789037,0,0,0,0.02,0.02,0.02,0
1.3078125000000000,3.4746376328831463,0,0,0,0.02,0.02,0.02,0
1.3359375000000000,3.4811773118730578,0,0,0,0.02,0.02,0.02,0
1.3640625000000000,3.4875807375893206,0,0,0,0.02,0.02,0.02,0
1.3921875000000001,3.4938534719814065,0,0,0,0.02,0.02,0.02,0
1.4203125000000001,3.5000007432359204,0,0,0,0.02,0.02,0.02,0
1.4484375000000000,3.5060274719584443,0,0,0,0.02,0.02,0.02,0
1.4765625000000000,3.5119382948374152,0,0,0,0.02,0.02,0.02,0
1.5046875000000000,3.5177375860751368,0,0,0,0.02,0.02,0.02,0
1.5328125000000001,3.5234294768340857,0,0,0,0.02,0.02,0.02,0
1.5609375000000001,3.5290178729150630,0,0,0,0.02,0.02,0.02,0
1.5890625000000000,3.5345064708566780,0,0,0,0.02,0.02,0.02,0
1.6171875000000000,3.5398987726223670,0,0,0,0.02,0.02,0.02,0
1.6453125000000000,3.5451980990210905,0,0,0,0.02,0.02,0.02,0
1.6734375000000001,3.5504076019905200,0,0,0,0.02,0.02,0.02,0
1.7015625000000001,3.5555302758564689,0,0,0,0.02,0.02,0.02,0
1.7296875000000000,3.5605689676692962,0,0,0,0.02,0.02,0.02,0
1.7578125000000000,3.5655263867066118,0,0,0,0.02,0.02,0.02,0
1.7859375000000000,3.5704051132217027,0,0,0,0.02,0.02,0.02,0
1.8140625000000001,3.5752076065083997,0,0,0,0.02,0.02,0.02,0
1.8421875000000001,3.5799362123454954,0,0,0,0.02,0.02,0.02,0
1.8703125000000000,3.5845931698771203,0,0,0,0.02,0.02,0.02,0
1.8984375000000000,3.5891806179796024,0,0,0,0.02,0.02,0.02,0
1.9265625000000000,3.5937006011601218,0,0,0,0.02,0.02,0.02,0
1.9546875000000001,3.5981550750278761,0,0,0,0.02,0.02,0.02,0
1.9828125000000001,3.6025459113744134,0,0,0,0.02,0.02,0.02,0
2.0109375000000003,3.6068749028961533,0,0,0,0.02,0.02,0.02,0
2.0390625000000000,3.6111437675889246,0,0,0,0.02,0.02,0.02,0
2.0671875000000002,3.6153541528414777,0,0,0,0.02,0.02,0.02,0
2.0953124999999999,3.6195076392523808,0,0,0,0.02,0.02,0.02,0
2.1234375000000001,3.6236057441924379,0,0,0,0.02,0.02,0.02,0
2.1515625000000003,3.6276499251327077,0,0,0,0.02,0.02,0.02,0
2.1796875000000000,3.6316415827564046,0,0,0,0.02,0.02,0.02,0
2.2078125000000002,3.6355820638713054,0,0,0,0.02,0.02,0.02,0
2.2359374999999999,3.6394726641377981,0,0,0,0.02,0.02,0.02,0
2.2640625000000001,3.6433146306264286,0,0,0,0.02,0.02,0.02,0
2.2921875000000003,3.6471091642175546,0,0,0,0.02,0.02,0.02,0
2.3203125000000000,3.6508574218546648,0,0,0,0.02,0.02,0.02,0
2.3484375000000002,3.6545605186619547,0,0,0,0.02,0.02,0.02,0
2.3765624999999999,3.6582195299358373,0,0,0,0.02,0.02,0.02,0
2.4046875000000001,3.6618354930193071,0,0,0,0.02,0.02,0.02,0
2.4328125000000003,3.6654094090673133,0,0,0,0.02,0.02,0.02,0
2.4609375000000000,3.6689422447106734,0,0,0,0.02,0.02,0.02,0
2.4890625000000002,3.6724349336254396,0,0,0,0.02,0.02,0.02,0
2.5171874999999999,3.6758883780140890,0,0,0,0.02,0.02,0.02,0
2.5453125000000001,3.6793034500044230,0,0,0,0.02,0.02,0.02,0
2.5734375000000003,3.6826809929716022,0,0,0,0.02,0.02,0.02,0
2.6015625000000000,3.6860218227883212,0,0,0,0.02,0.02,0.02,0
2.6296875000000002,3.6893267290077700,0,0,0,0.02,0.02,0.02,0
2.6578124999999999,3.6925964759836645,0,0,0,0.02,0.02,0.02,0
2.6859375000000001,3.6958318039313309,0,0,0,0.02,0.02,0.02,0
2.7140625000000003,3.6990334299335155,0,0,0,0.02,0.02,0.02,0
2.7421875000000000,3.7022020488943497,0,0,0,0.02,0.02,0.02,0
2.7703125000000002,3.7053383344446384,0,0,0,0.02,0.02,0.02,0
2.7984374999999999,3.7084429398014298,0,0,0,0.02,0.02,0.02,0
2.8265625000000001,3.7115164985845941,0,0,0,0.02,0.02,0.02,0
2.8546875000000003,3.7145596255929862,0,0,0,0.02,0.02,0.02,0
2.8828125000000000,3.7175729175425545,0,0,0,0.02,0.02,0.02,0
2.9109375000000002,3.7205569537686163,0,0,0,0.02,0.02,0.02,0
2.9390624999999999,3.7235122968943699,0,0,0,0.02,0.02,0.02,0
