normalized_radius,prototype_chord_m,model_chord_m,twist_degrees
0.04,3.24699,0.0324699,13.30843
0.08,3.63253,0.0363253,13.32530
0.12,3.93373,0.0393373,13.30843
0.16,4.15060,0.0415060,13.34217
0.20,4.28313,0.0428313,13.30843
0.24,4.35542,0.0435542,13.30843
0.28,4.35542,0.0435542,11.45301
0.32,4.30723,0.0430723,10.30602
0.36,4.18675,0.0418675,9.05783
0.40,4.03012,0.0403012,7.80964
0.44,3.83735,0.0383735,6.56145
0.48,3.62048,0.0362048,5.34699
0.52,3.36747,0.0336747,4.23373
0.56,3.09036,0.0309036,3.22169
0.60,2.80120,0.0280120,2.31084
0.64,2.50000,0.0250000,1.56867
0.68,2.19880,0.0219880,0.94458
0.72,1.89759,0.0189759,0.48916
0.76,1.60843,0.0160843,0.18554
0.80,1.34337,0.0134337,0.11807
0.84,1.09036,0.0109036,0.05060
0.88,0.87349,0.0087349,0.05060
0.92,0.68072,0.0068072,0.05060
0.96,0.53614,0.0053614,0.01687
1.00,0.43976,0.0043976,0.05060
