angle_of_attack_degrees,lift_coefficient,drag_coefficient
-10,-0.8242,0.0395
-9,-0.7728,0.0869
-8,-0.5990,0.1362
-7,-0.4765,0.1481
-6,-0.3659,0.1481
-5,-0.2830,0.1441
-4,-0.2395,0.1362
-3,-0.2277,0.1283
-2,-0.1328,0.1145
-1,-0.0578,0.1145
0,0.1240,0.1283
1,0.3314,0.1244
2,0.4993,0.1244
3,0.6691,0.1204
4,0.7719,0.1244
5,0.8193,0.1244
6,0.9081,0.1481
7,1.0563,0.1165
8,1.1116,0.1737
9,1.2183,0.1856
10,1.3249,0.2053
11,1.3723,0.2053
12,1.4632,0.2014
13,1.5067,0.2113
14,1.5383,0.2053
15,1.5778,0.2014
16,1.6173,0.2448
17,1.6291,0.2665
18,1.6449,0.2725
19,1.6252,0.2922
20,1.6528,0.3080
21,1.6568,0.2942
22,1.7477,0.3277
23,1.8030,0.3751
24,1.6173,0.3554
25,1.6449,0.4146
26,1.6528,0.3830
27,1.6686,0.3909
28,1.6805,0.4146
29,1.7160,0.4265
30,1.7714,0.4423
