height_mm,wind_speed_m_s,turbulence_intensity_percent,log_fit_wind_speed_m_s,relative_error_percent
100,2.826,10.7,2.684450393,5.008832531
200,2.984,9.76,2.897491478,2.899079162
300,2.976,9.34,3.022112524,-1.549479963
400,3.039,8.86,3.110532563,-2.353819115
500,3.153,9.21,3.179116474,-0.828305537
600,3.117,9.29,3.235153609,-3.790619468
700,3.244,9.16,3.282532332,-1.187803069
800,3.231,9.79,3.323573648,-2.865170165
900,3.336,9.21,3.359774655,-0.712669506
1000,3.262,10.2,3.392157559,-3.990115226
1100,3.396,10.1,3.421451459,-0.749454022
1200,3.428,10.2,3.448194694,-0.589110091
1300,3.461,9.91,3.472796086,-0.340828825
1400,3.455,10.9,3.495573417,-1.174339123
1500,3.546,10.3,3.516778605,0.824066424
1600,3.599,9.25,3.536614733,1.733405581
1700,3.553,9.28,3.555247912,-0.063267992
1800,3.645,8.44,3.572815740,1.980363791
1900,3.742,8.57,3.589433480,4.077138439
2000,3.708,8.57,3.605198644,2.772420610
