z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
2.0,6.991980840405227,0,0,0,0.1,0.1,0.0012271538285719926,0
6.0,7.825986508292721,0,0,0,0.1,0.1,0.002454122852291229,0
10.0,8.213777059989075,0,0,0,0.1,0.1,0.003680722294135883,0
14.0,8.469208166416148,0,0,0,0.1,0.1,0.004906767432741802,0
18.0,8.659992176180216,0,0,0,0.1,0.1,0.006132073630220858,0
22.0,8.81233026589634,0,0,0,0.1,0.1,0.007356456359966743,0
26.0,8.939148484561768,0,0,0,0.1,0.1,0.00857973123444399,0
30.0,9.047782727876571,0,0,0,0.1,0.1,0.009801714032956061,0
34.0,9.142799661248768,0,0,0,0.1,0.1,0.011022220729388306,0
38.0,9.227236009770568,0,0,0,0.1,0.1,0.012241067519921621,0
42.0,9.303213834303644,0,0,0,0.1,0.1,0.013458070850712617,0
46.0,9.372274575225596,0,0,0,0.1,0.1,0.014673047445536175,0
50.0,9.435573279572926,0,0,0,0.1,0.1,0.015885814333386147,0
54.0,9.49399784406771,0,0,0,0.1,0.1,0.01709618887603012,0
58.0,9.548245535994342,0,0,0,0.1,0.1,0.018303988795514096,0
62.0,9.598873937756105,0,0,0,0.1,0.1,0.019509032201612826,0
66.0,9.646335933783837,0,0,0,0.1,0.1,0.02071113761922186,0
70.0,9.691004386,0,0,0,0.1,0.1,0.021910124015686983,0
74.0,9.733189942546943,0,0,0,0.1,0.1,0.023105810828067112,0
78.0,9.773154152449264,0,0,0,0.1,0.1,0.02429801799032639,0
82.0,9.811119296880035,0,0,0,0.1,0.1,0.025486565960451457,0
86.0,9.847275876609922,0,0,0,0.1,0.1,0.02667127574748984,0
90.0,9.881788395764067,0,0,0,0.1,0.1,0.027851968938505306,0
94.0,9.914799886897514,0,0,0,0.1,0.1,0.029028467725446233,0
98.0,9.946435492427073,0,0,0,0.1,0.1,0.03020059493192281,0
102.0,9.976805329136264,0,0,0,0.1,0.1,0.03136817403988915,0
106.0,10.00600680136067,0,0,0,0.1,0.1,0.0325310292162263,0
110.0,10.034126485480192,0,0,0,0.1,0.1,0.03368898533922201,0
114.0,10.061241677658064,0,0,0,0.1,0.1,0.034841868024943455,0
118.0,10.087421674553958,0,0,0,0.1,0.1,0.03598950365349881,0
122.0,10.112728840455002,0,0,0,0.1,0.1,0.037131719395183754,0
126.0,10.13721950219114,0,0,0,0.1,0.1,0.03826834323650898,0
130.0,10.160944704145619,0,0,0,0.1,0.1,0.03939920400610481,0
134.0,10.183950848812959,0,0,0,0.1,0.1,0.040524131400498986,0
138.0,10.20628024311309,0,0,0,0.1,0.1,0.04164295600976372,0
142.0,10.227971566626223,0,0,0,0.1,0.1,0.042755509343028214,0
146.0,10.249060274768048,0,0,0,0.1,0.1,0.04386162385385277,0
150.0,10.269578947460422,0,0,0,0.1,0.1,0.04496113296546066,0
154.0,10.289557591907265,0,0,0,0.1,0.1,0.046053871095824005,0
158.0,10.309023906539393,0,0,0,0.1,0.1,0.04713967368259977,0
162.0,10.328003511955208,0,0,0,0.1,0.1,0.04821837720791228,0
166.0,10.346520153688955,0,0,0,0.1,0.1,0.049289819222978405,0
170.0,10.364595880832617,0,0,0,0.1,0.1,0.05035383837257176,0
174.0,10.382251203881838,0,0,0,0.1,0.1,0.051410274419322166,0
178.0,10.399505234639888,0,0,0,0.1,0.1,0.0524589682678469,0
182.0,10.416375810572692,0,0,0,0.1,0.1,0.05349976198870972,0
186.0,10.4328796056436,0,0,0,0.1,0.1,0.05453249884220465,0
190.0,10.449032229354417,0,0,0,0.1,0.1,0.05555702330196022,0
194.0,10.464848315467288,0,0,0,0.1,0.1,0.05657318107836132,0
198.0,10.48034160167133,0,0,0,0.1,0.1,0.057580819141784534,0
202.0,10.495525001280955,0,0,0,0.1,0.1,0.05857978574564389,0
206.0,10.510410667903473,0,0,0,0.1,0.1,0.05956993044924334,0
210.0,10.525010053887495,0,0,0,0.1,0.1,0.060551104140432556,0
214.0,10.539333963256267,0,0,0,0.1,0.1,0.06152315905806269,0
218.0,10.553392599738917,0,0,0,0.1,0.1,0.062485948814238634,0
222.0,10.567195610434439,0,0,0,0.1,0.1,0.06343932841636456,0
226.0,10.580752125576488,0,0,0,0.1,0.1,0.06438315428897914,0
230.0,10.594070794809447,0,0,0,0.1,0.1,0.06531728429537768,0
234.0,10.607159820336758,0,0,0,0.1,0.1,0.06624157775901718,0
238.0,10.62002698725969,0,0,0,0.1,0.1,0.06715589548470184,0
242.0,10.632679691387455,0,0,0,0.1,0.1,0.0680600997795453,0
246.0,10.645124964767529,0,0,0,0.1,0.1,0.06895405447370669,0
250.0,10.657369499156777,0,0,0,0.1,0.1,0.06983762494089729,0
254.0,10.669419667629544,0,0,0,0.1,0.1,0.07071067811865475,0
258.0,10.681281544497416,0,0,0,0.1,0.1,0.07157308252838186,0
262.0,10.69296092369649,0,0,0,0.1,0.1,0.07242470829514669,0
266.0,10.704463335781492,0,0,0,0.1,0.1,0.07326542716724128,0
270.0,10.715794063651563,0,0,0,0.1,0.1,0.07409511253549592,0
274.0,10.726958157119572,0,0,0,0.1,0.1,0.07491363945234593,0
278.0,10.737960446425593,0,0,0,0.1,0.1,0.07572088465064845,0
282.0,10.74880555478501,0,0,0,0.1,0.1,0.0765167265622459,0
286.0,10.759497910052884,0,0,0,0.1,0.1,0.0773010453362737,0
290.0,10.770041755578191,0,0,0,0.1,0.1,0.07807372285720944,0
294.0,10.780441160314568,0,0,0,0.1,0.1,0.07883464276266063,0
298.0,10.790700028247812,0,0,0,0.1,0.1,0.07958369046088835,0
302.0,10.800822107194854,0,0,0,0.1,0.1,0.08032075314806449,0
306.0,10.810810997023758,0,0,0,0.1,0.1,0.08104571982525949,0
310.0,10.820670157339956,0,0,0,0.1,0.1,0.08175848131515838,0
314.0,10.830402914679691,0,0,0,0.1,0.1,0.08245893027850254,0
318.0,10.840012469248167,0,0,0,0.1,0.1,0.08314696123025453,0
322.0,10.849501901236517,0,0,0,0.1,0.1,0.08382247055548381,0
