z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
2.0,5.527368262954151,0,0,0,0.1,0.1,0.0012271538285719926,0
6.0,6.186674483183732,0,0,0,0.1,0.1,0.002454122852291229,0
10.0,6.49323441763511,0,0,0,0.1,0.1,0.003680722294135883,0
14.0,6.695160284319041,0,0,0,0.1,0.1,0.004906767432741802,0
18.0,6.845980703413313,0,0,0,0.1,0.1,0.006132073630220858,0
22.0,6.966408482258194,0,0,0,0.1,0.1,0.007356456359966743,0
26.0,7.066662046021541,0,0,0,0.1,0.1,0.00857973123444399,0
30.0,7.15254063786469,0,0,0,0.1,0.1,0.009801714032956061,0
34.0,7.22765434225726,0,0,0,0.1,0.1,0.011022220729388306,0
38.0,7.2944037804654025,0,0,0,0.1,0.1,0.012241067519921621,0
42.0,7.354466504548622,0,0,0,0.1,0.1,0.013458070850712617,0
46.0,7.40906106885037,0,0,0,0.1,0.1,0.014673047445536175,0
50.0,7.459100572316068,0,0,0,0.1,0.1,0.015885814333386147,0
54.0,7.505286923642894,0,0,0,0.1,0.1,0.01709618887603012,0
58.0,7.548171333302746,0,0,0,0.1,0.1,0.018303988795514096,0
62.0,7.588194586725426,0,0,0,0.1,0.1,0.019509032201612826,0
66.0,7.625714702487777,0,0,0,0.1,0.1,0.02071113761922186,0
70.0,7.661026439,0,0,0,0.1,0.1,0.021910124015686983,0
74.0,7.694375372833623,0,0,0,0.1,0.1,0.023105810828067112,0
78.0,7.725968266251123,0,0,0,0.1,0.1,0.02429801799032639,0
82.0,7.755980839113516,0,0,0,0.1,0.1,0.025486565960451457,0
86.0,7.784563687930986,0,0,0,0.1,0.1,0.02667127574748984,0
90.0,7.811846858094273,0,0,0,0.1,0.1,0.027851968938505306,0
94.0,7.837943421081026,0,0,0,0.1,0.1,0.029028467725446233,0
98.0,7.8629523056839306,0,0,0,0.1,0.1,0.03020059493192281,0
102.0,7.886960562486841,0,0,0,0.1,0.1,0.03136817403988915,0
106.0,7.910045192506418,0,0,0,0.1,0.1,0.0325310292162263,0
110.0,7.932274636939154,0,0,0,0.1,0.1,0.03368898533922201,0
114.0,7.953710000694983,0,0,0,0.1,0.1,0.034841868024943455,0
118.0,7.974406064838976,0,0,0,0.1,0.1,0.03598950365349881,0
122.0,7.994412130190072,0,0,0,0.1,0.1,0.037131719395183754,0
126.0,8.013772724778203,0,0,0,0.1,0.1,0.03826834323650898,0
130.0,8.032528200702501,0,0,0,0.1,0.1,0.03939920400610481,0
134.0,8.050715240511352,0,0,0,0.1,0.1,0.040524131400498986,0
138.0,8.068367289079951,0,0,0,0.1,0.1,0.04164295600976372,0
142.0,8.085514923763832,0,0,0,0.1,0.1,0.042755509343028214,0
146.0,8.102186173120842,0,0,0,0.1,0.1,0.04386162385385277,0
150.0,8.11840679254565,0,0,0,0.1,0.1,0.04496113296546066,0
154.0,8.134200503623084,0,0,0,0.1,0.1,0.046053871095824005,0
158.0,8.149589202784346,0,0,0,0.1,0.1,0.04713967368259977,0
162.0,8.164593143872477,0,0,0,0.1,0.1,0.04821837720791228,0
166.0,8.179231098436675,0,0,0,0.1,0.1,0.049289819222978405,0
170.0,8.193520496938218,0,0,0,0.1,0.1,0.05035383837257176,0
174.0,8.207477553532328,0,0,0,0.1,0.1,0.051410274419322166,0
178.0,8.221117376666419,0,0,0,0.1,0.1,0.0524589682678469,0
182.0,8.234454067386432,0,0,0,0.1,0.1,0.05349976198870972,0
186.0,8.247500806955008,0,0,0,0.1,0.1,0.05453249884220465,0
190.0,8.26026993514636,0,0,0,0.1,0.1,0.05555702330196022,0
194.0,8.272773020383557,0,0,0,0.1,0.1,0.05657318107836132,0
198.0,8.285020922717358,0,0,0,0.1,0.1,0.057580819141784534,0
202.0,8.29702385050586,0,0,0,0.1,0.1,0.05857978574564389,0
206.0,8.308791411536172,0,0,0,0.1,0.1,0.05956993044924334,0
210.0,8.320332659229582,0,0,0,0.1,0.1,0.060551104140432556,0
214.0,8.331656134486957,0,0,0,0.1,0.1,0.06152315905806269,0
218.0,8.342769903658857,0,0,0,0.1,0.1,0.062485948814238634,0
222.0,8.353681593063204,0,0,0,0.1,0.1,0.06343932841636456,0
226.0,8.36439842042054,0,0,0,0.1,0.1,0.06438315428897914,0
230.0,8.374927223531328,0,0,0,0.1,0.1,0.06531728429537768,0
234.0,8.385274486480704,0,0,0,0.1,0.1,0.06624157775901718,0
