z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
2.0,6.991980840405227,0,0,0,0.1,0.1,0.004906767432741802,0
6.0,7.825986508292721,0,0,0,0.1,0.1,0.009801714032956061,0
10.0,8.213777059989075,0,0,0,0.1,0.1,0.014673047445536175,0
14.0,8.469208166416148,0,0,0,0.1,0.1,0.019509032201612826,0
18.0,8.659992176180216,0,0,0,0.1,0.1,0.02429801799032639,0
22.0,8.81233026589634,0,0,0,0.1,0.1,0.029028467725446233,0
26.0,8.939148484561768,0,0,0,0.1,0.1,0.03368898533922201,0
30.0,9.047782727876571,0,0,0,0.1,0.1,0.03826834323650898,0
34.0,9.142799661248768,0,0,0,0.1,0.1,0.042755509343028214,0
38.0,9.227236009770568,0,0,0,0.1,0.1,0.04713967368259977,0
42.0,9.303213834303644,0,0,0,0.1,0.1,0.051410274419322166,0
46.0,9.372274575225596,0,0,0,0.1,0.1,0.05555702330196022,0
50.0,9.435573279572926,0,0,0,0.1,0.1,0.05956993044924334,0
54.0,9.49399784406771,0,0,0,0.1,0.1,0.06343932841636456,0
58.0,9.548245535994342,0,0,0,0.1,0.1,0.06715589548470184,0
62.0,9.598873937756105,0,0,0,0.1,0.1,0.07071067811865475,0
66.0,9.646335933783837,0,0,0,0.1,0.1,0.07409511253549592,0
70.0,9.691004386,0,0,0,0.1,0.1,0.0773010453362737,0
74.0,9.733189942546943,0,0,0,0.1,0.1,0.08032075314806449,0
78.0,9.773154152449264,0,0,0,0.1,0.1,0.08314696123025453,0
82.0,9.811119296880035,0,0,0,0.1,0.1,0.08577286100002722,0
86.0,9.847275876609922,0,0,0,0.1,0.1,0.0881921264348355,0
90.0,9.881788395764067,0,0,0,0.1,0.1,0.09039892931234433,0
94.0,9.914799886897514,0,0,0,0.1,0.1,0.09238795325112868,0
98.0,9.946435492427073,0,0,0,0.1,0.1,0.09415440651830209,0
102.0,9.976805329136264,0,0,0,0.1,0.1,0.0956940335732209,0
106.0,10.00600680136067,0,0,0,0.1,0.1,0.0970031253194544,0
110.0,10.034126485480192,0,0,0,0.1,0.1,0.09807852804032305,0
114.0,10.061241677658064,0,0,0,0.1,0.1,0.0989176509964781,0
118.0,10.087421674553958,0,0,0,0.1,0.1,0.09951847266721969,0
122.0,10.112728840455002,0,0,0,0.1,0.1,0.09987954562051725,0
126.0,10.13721950219114,0,0,0,0.1,0.1,0.1,0
130.0,10.160944704145619,0,0,0,0.1,0.1,0.09987954562051725,0
134.0,10.183950848812959,0,0,0,0.1,0.1,0.09951847266721969,0
138.0,10.20628024311309,0,0,0,0.1,0.1,0.0989176509964781,0
142.0,10.227971566626223,0,0,0,0.1,0.1,0.09807852804032305,0
146.0,10.249060274768048,0,0,0,0.1,0.1,0.0970031253194544,0
150.0,10.269578947460422,0,0,0,0.1,0.1,0.0956940335732209,0
154.0,10.289557591907265,0,0,0,0.1,0.1,0.09415440651830209,0
158.0,10.309023906539393,0,0,0,0.1,0.1,0.09238795325112868,0
162.0,10.328003511955208,0,0,0,0.1,0.1,0.09039892931234435,0
166.0,10.346520153688955,0,0,0,0.1,0.1,0.08819212643483551,0
170.0,10.364595880832617,0,0,0,0.1,0.1,0.08577286100002722,0
174.0,10.382251203881838,0,0,0,0.1,0.1,0.08314696123025456,0
178.0,10.399505234639888,0,0,0,0.1,0.1,0.0803207531480645,0
182.0,10.416375810572692,0,0,0,0.1,0.1,0.07730104533627372,0
186.0,10.4328796056436,0,0,0,0.1,0.1,0.0740951125354959,0
190.0,10.449032229354417,0,0,0,0.1,0.1,0.07071067811865477,0
194.0,10.464848315467288,0,0,0,0.1,0.1,0.06715589548470186,0
198.0,10.48034160167133,0,0,0,0.1,0.1,0.06343932841636456,0
202.0,10.495525001280955,0,0,0,0.1,0.1,0.05956993044924335,0
206.0,10.510410667903473,0,0,0,0.1,0.1,0.05555702330196022,0
210.0,10.525010053887495,0,0,0,0.1,0.1,0.05141027441932218,0
214.0,10.539333963256267,0,0,0,0.1,0.1,0.04713967368259979,0
218.0,10.553392599738917,0,0,0,0.1,0.1,0.04275550934302821,0
222.0,10.567195610434439,0,0,0,0.1,0.1,0.03826834323650899,0
226.0,10.580752125576488,0,0,0,0.1,0.1,0.03368898533922204,0
230.0,10.594070794809447,0,0,0,0.1,0.1,0.02902846772544624,0
234.0,10.607159820336758,0,0,0,0.1,0.1,0.02429801799032641,0
238.0,10.62002698725969,0,0,0,0.1,0.1,0.01950903220161286,0
242.0,10.632679691387455,0,0,0,0.1,0.1,0.01467304744553618,0
246.0,10.645124964767529,0,0,0,0.1,0.1,0.009801714032956084,0
250.0,10.657369499156777,0,0,0,0.1,0.1,0.004906767432741797,0
254.0,10.669419667629544,0,0,0,0.1,0.1,0.0,0
