z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
2,5.771934930093408,0,0,0,0.017539412535967483,0.017539412535967483,0.0007690326048409427,0
6,6.460413139095011,0,0,0,0.023082875348940882,0.023082875348940882,0.0015379493962003209,0
10,6.780537275872059,0,0,0,0.026226551690239,0.026226551690239,0.0023066345780376534,0
14,6.991397654221348,0,0,0,0.028527049059975697,0.028527049059975697,0.0030749723891920024,0
18,7.1488913480966145,0,0,0,0.030375340955549838,0.030375340955549838,0.0038428471208151764,0
22,7.274647633945539,0,0,0,0.03193606818471612,0.03193606818471612,0.004610143133797058,0
26,7.379337066424703,0,0,0,0.03329556582827608,0.03329556582827608,0.00537674487618043,0
30,7.469015484873663,0,0,0,0.03450525213660701,0.03450525213660701,0.00614253690056267,0
34,7.547452707343162,0,0,0,0.03559844191264502,0.03559844191264502,0.006907403881481713,0
38,7.617155574173998,0,0,0,0.03659806017338482,0.03659806017338482,0.007671230632783631,0
42,7.679875863222953,0,0,0,0.03752061359848718,0.03752061359848718,0.008433902124969255,0
46,7.736886045591021,0,0,0,0.03837841552112193,0.03837841552112193,0.009195303502517193,0
50,7.789139621650711,0,0,0,0.03918091598831514,0.03918091598831514,0.009955320101180633,0
54,7.837369557098217,0,0,0,0.03993553885324723,0.03993553885324723,0.010713837465255381,0
58,7.88215145153632,0,0,0,0.04064823117255117,0.04064823117255117,0.011470741364816454,0
62,7.923945593604735,0,0,0,0.041323836573337866,0.041323836573337866,0.012225917812920687,0
66,7.963125842947143,0,0,0,0.04196635657437633,0.04196635657437633,0.012979253082772757,0
70,8,0,0,0,0.042579138158074695,0.042579138158074695,0.013730633724852004,0
74,8.034824507237156,0,0,0,0.043165011381614105,0.043165011381614105,0.014479946583997528,0
78,8.067815275426305,0,0,0,0.043726392284199354,0.043726392284199354,0.01522707881644893,0
82,8.099155799416259,0,0,0,0.04426536115256317,0.04426536115256317,0.015971917906840178,0
86,8.129003339084795,0,0,0,0.0447837229457686,0.0447837229457686,0.016714351685143982,0
90,8.157493693875267,0,0,0,0.04528305457738296,0.04528305457738296,0.01745426834356422,0
94,8.18474493828179,0,0,0,0.04576474236415293,0.04576474236415293,0.018191556453373763,0
98,8.21086037834929,0,0,0,0.04623001201311988,0.04623001201311988,0.018926104981695238,0
102,8.235930916344765,0,0,0,0.0466799528744416,0.0466799528744416,0.01965780330822215,0
106,8.260036960309902,0,0,0,0.047115537735927394,0.047115537735927394,0.020386541241877925,0
110,8.283249979724191,0,0,0,0.04753763911436501,0.04753763911436501,0.021112209037410266,0
114,8.305633783175601,0,0,0,0.04794704276714473,0.04794704276714473,0.02183469741191838,0
118,8.327245575599274,0,0,0,0.04834445897834935,0.04834445897834935,0.02255389756131059,0
122,8.348136839202544,0,0,0,0.04873053204812572,0.04873053204812572,0.023269701176689826,0
126,8.368354072224555,0,0,0,0.049105848320302736,0.049105848320302736,0.023982000460664534,0
130,8.387939412203353,0,0,0,0.0494709430122135,0.0494709430122135,0.0246906881435826,0
134,8.40693116476149,0,0,0,0.0498263060564292,0.0498263060564292,0.02539565749968573,0
138,8.425364254592624,0,0,0,0.05017238712228636,0.05017238712228636,0.026096802363181973,0
142,8.443270611993075,0,0,0,0.05050959995256567,0.05050959995256567,0.02679401714423391,0
146,8.46067950568611,0,0,0,0.05083832612519076,0.05083832612519076,0.027487196844860066,0
150,8.477617830652315,0,0,0,0.051158918329686075,0.051158918329686075,0.028176237074747233,0
154,8.49411035807348,0,0,0,0.05147170323212698,0.05147170323212698,0.028861034066971297,0
158,8.51017995322112,0,0,0,0.051776983989502,0.051776983989502,0.029541484693624102,0
162,8.52584776609982,0,0,0,0.05207504246408672,0.05207504246408672,0.030217486481344164,0
166,8.541133398834027,0,0,0,0.052366141180066224,0.052366141180066224,0.03088893762674879,0
170,8.556055053121813,0,0,0,0.05265052505782942,0.05265052505782942,0.03155573701176527,0
174,8.570629660537923,0,0,0,0.0529284229557776,0.0529284229557776,0.03221778421885889,0
178,8.584872998025606,0,0,0,0.05320004904489484,0.05320004904489484,0.032874979546155494,0
182,8.598799790552643,0,0,0,0.05346560403752725,0.05346560403752725,0.03352722402245611,0
186,8.612423802606338,0,0,0,0.053725276288660244,0.053725276288660244,0.03417441942214177,0
190,8.62575791995265,0,0,0,0.05397924278534692,0.05397924278534692,0.034816468279965845,0
194,8.638814222876807,0,0,0,0.0542276700377326,0.0542276700377326,0.03545327390573199,0
198,8.651604051948746,0,0,0,0.054470714883261724,0.054470714883261724,0.03608474039885534,0
202,8.664138067210617,0,0,0,0.054708525214084314,0.054708525214084314,0.036710772662804717,0
206,8.67642630156042,0,0,0,0.05494124063634908,0.05494124063634908,0.03733127641942391,0
210,8.688478209001604,0,0,0,0.05516899306893885,0.05516899306893885,0.037946158223129564,0
214,8.700302708339951,0,0,0,0.05539190728823885,0.05539190728823885,0.03855532547498375,0
218,8.71190822283375,0,0,0,0.055610101424701644,0.055610101424701644,0.03915868643663904,0
222,8.72330271623876,0,0,0,0.055823687416263305,0.055823687416263305,0.039756150244153944,0
226,8.734493725634346,0,0,0,0.05603277142305389,0.05603277142305389,0.040347626921676684,0
230,8.745488391369673,0,0,0,0.05623745420731767,0.05623745420731767,0.04093302739499527,0
234,8.756293484427909,0,0,0,0.05643783148200142,0.05643783148200142,0.041512263504951664,0
238,8.766915431471103,0,0,0,0.056633994231072265,0.056633994231072265,0.04208524802071832,0
242,8.77736033779767,0,0,0,0.05682602900428081,0.05682602900428081,0.04265189465293477,0
246,8.78763400841786,0,0,0,0.05701401818878424,0.05701401818878424,0.04321211806670248,0
250,8.797741967429364,0,0,0,0.05719804025977987,0.05719804025977987,0.043765833894436015,0
254,8.807689475854952,0,0,0,0.057378170012068956,0.057378170012068956,0.04431295874856842,0
258,8.817481548086398,0,0,0,0.05755447877426693,0.05755447877426693,0.04485341023410918,0
262,8.827122967063316,0,0,0,0.05772703460719795,0.05772703460719795,0.045387106961052484,0
266,8.83661829830194,0,0,0,0.05789590248785334,0.05789590248785334,0.045913968556634356,0
270,8.84597190287687,0,0,0,0.05806114448015431,0.05806114448015431,0.04643391567743645,0
274,8.855187949448172,0,0,0,0.05822281989363576,0.05822281989363576,0.04694687002133489,0
278,8.864270425416848,0,0,0,0.058380985431058165,0.058380985431058165,0.04745275433929226,0
282,8.873223147283394,0,0,0,0.05853569532585728,0.05853569532585728,0.0479514924469911,0
286,8.882049770276835,0,0,0,0.05868700147025426,0.05868700147025426,0.04844300923630687,0
290,8.890753797314972,0,0,0,0.05883495353477173,0.05883495353477173,0.048927230686619035,0
294,8.899338587350893,0,0,0,0.05897959907983174,0.05897959907983174,0.0494040838759583,0
298,8.907807363155445,0,0,0,0.05912098366004989,0.05912098366004989,0.04987349699198835,0
302,8.916163218580843,0,0,0,0.059259150921784146,0.059259150921784146,0.05033539934282054,0
306,8.924409125346369,0,0,0,0.059394142694446976,0.059394142694446976,0.05078972136765986,0
310,8.932547939383387,0,0,0,0.059525999076045,0.059525999076045,0.051236394647280484,0
314,8.940582406773615,0,0,0,0.05965475851336924,0.05965475851336924,0.051675351914329495,0
318,8.948515169311506,0,0,0,0.059780457877223386,0.059780457877223386,0.05210652706345709,0
322,8.95634876971896,0,0,0,0.05990313253304406,0.05990313253304406,0.0525298551612718,0
326,8.964085656538122,0,0,0,0.0600228164072376,0.0600228164072376,0.05294527245611921,0
330,8.971728188725795,0,0,0,0.060139542049530904,0.060139542049530904,0.05335271638768276,0
334,8.979278639971081,0,0,0,0.06025334069160929,0.06025334069160929,0.053752125596405034,0
338,8.986739202755997,0,0,0,0.060364242302292544,0.060364242302292544,0.05414343993272834,0
342,8.994111992177205,0,0,0,0.06047227563947966,0.06047227563947966,0.054526600466153,0
346,9.00139904954554,0,0,0,0.060577468299075,0.060577468299075,0.054901549494112065,0
350,9.008602345778652,0,0,0,0.060679846761091366,0.060679846761091366,0.05526823055066108,0
354,9.015723784600878,0,0,0,0.0607794364331107,0.0607794364331107,0.0556265884149817,0
