z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
2,10,0,0,0,0,0,0,0
6,10,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0
14,10,0,0,0,0,0,0,0
18,10,0,0,0,0,0,0,0
22,10,0,0,0,0,0,0,0
26,10,0,0,0,0,0,0,0
30,10,0,0,0,0,0,0,0
34,10,0,0,0,0,0,0,0
38,10,0,0,0,0,0,0,0
42,10,0,0,0,0,0,0,0
46,10,0,0,0,0,0,0,0
50,10,0,0,0,0,0,0,0
54,10,0,0,0,0,0,0,0
58,10,0,0,0,0,0,0,0
62,10,0,0,0,0,0,0,0
66,10,0,0,0,0,0,0,0
70,10,0,0,0,0,0,0,0
74,10,0,0,0,0,0,0,0
78,10,0,0,0,0,0,0,0
82,10,0,0,0,0,0,0,0
86,10,0,0,0,0,0,0,0
90,10,0,0,0,0,0,0,0
94,10,0,0,0,0,0,0,0
98,10,0,0,0,0,0,0,0
102,10,0,0,0,0,0,0,0
106,10,0,0,0,0,0,0,0
110,10,0,0,0,0,0,0,0
114,10,0,0,0,0,0,0,0
118,10,0,0,0,0,0,0,0
122,10,0,0,0,0,0,0,0
126,10,0,0,0,0,0,0,0
130,10,0,0,0,0,0,0,0
134,10,0,0,0,0,0,0,0
138,10,0,0,0,0,0,0,0
142,10,0,0,0,0,0,0,0
146,10,0,0,0,0,0,0,0
150,10,0,0,0,0,0,0,0
154,10,0,0,0,0,0,0,0
158,10,0,0,0,0,0,0,0
162,10,0,0,0,0,0,0,0
166,10,0,0,0,0,0,0,0
170,10,0,0,0,0,0,0,0
174,10,0,0,0,0,0,0,0
178,10,0,0,0,0,0,0,0
182,10,0,0,0,0,0,0,0
186,10,0,0,0,0,0,0,0
190,10,0,0,0,0,0,0,0
194,10,0,0,0,0,0,0,0
198,10,0,0,0,0,0,0,0
202,10,0,0,0,0,0,0,0
206,10,0,0,0,0,0,0,0
210,10,0,0,0,0,0,0,0
214,10,0,0,0,0,0,0,0
218,10,0,0,0,0,0,0,0
222,10,0,0,0,0,0,0,0
226,10,0,0,0,0,0,0,0
230,10,0,0,0,0,0,0,0
234,10,0,0,0,0,0,0,0
238,10,0,0,0,0,0,0,0
242,10,0,0,0,0,0,0,0
246,10,0,0,0,0,0,0,0
250,10,0,0,0,0,0,0,0
254,10,0,0,0,0,0,0,0
