sector_index,wind_direction_deg,wind_direction_label,frequency_percent,weibull_shape,weibull_scale_m_s,mean_wind_speed_m_s
1,0,N,5.1,2.11,8.65,7.661026439
2,30,NNE,4.3,2.05,8.86,7.849024774
3,60,ENE,4.4,2.35,8.15,7.222269511
4,90,E,6.6,2.55,9.98,8.859437196
5,120,ESE,8.9,2.81,11.35,10.1079921
6,150,SSE,6.5,2.74,10.96,9.751553589
7,180,S,8.7,2.63,11.28,10.02251161
8,210,SSW,11.5,2.4,11.5,10.19454424
9,240,WSW,12.1,2.23,11.08,9.813314215
10,270,W,11.1,2.28,10.94,9.691004386
11,300,WNW,11.4,2.29,11.27,9.983777911
12,330,NNW,9.6,2.28,10.55,9.345529824
