z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
25,0,0,0,300,0,0,0.0407033577540502,0.00116101768677129
75,0,0,0,300,0,0,0.0391383255426518,0.0011172189208602
125,0,0,0,300,0,0,0.0375732933312534,0.00107342015494911
175,0,0,0,300,0,0,0.036008261119855,0.00102962138903801
225,0,0,0,300,0,0,0.0344432289084565,0.000985822623126917
275,0,0,0,300,0,0,0.0328781966970581,0.000942023857215822
325,0,0,0,300,0,0,0.0313131644856597,0.000898225091304728
375,0,0,0,300,0,0,0.0297481322742613,0.000854426325393633
425,0,0,0,300,0,0,0.0281831000628628,0.000810627559482538
475,0,0,0,300,0,0,0.0266180678514644,0.000766828793571444
525,0,0,0,300,0,0,0.025053035640066,0.000723030027660349
575,0,0,0,300,0,0,0.0234880034286676,0.000679231261749255
625,0,0,0,300,0,0,0.0219229712172691,0.00063543249583816
675,0,0,0,300,0,0,0.0203579390058707,0.000591633729927066
725,0,0,0,300,0,0,0.0187929067944723,0.000547834964015971
775,0,0,0,300,0,0,0.0172278745830739,0.000504036198104876
825,0,0,0,300,0,0,0.0156628423716754,0.000460237432193782
875,0,0,0,300,0,0,0.014097810160277,0.000416438666282687
925,0,0,0,300,0,0,0.0125327779488786,0.000372639900371593
975,0,0,0,300,0,0,0.0109677457374802,0.000328841134460498
1025,0,0,0,300,0,0,0.00940271352608174,0.000285042368549404
1075,0,0,0,300,0,0,0.00783768131468331,0.000241243602638309
1125,0,0,0,300,0,0,0.00627264910328488,0.000197444836727214
1175,0,0,0,300,0,0,0.00470761689188646,0.00015364607081612
1225,0,0,0,300,0,0,0.00314258468048804,0.000109847304905025
1275,0,0,0,300,0,0,0.00157755246908961,6.60485389939306e-05
1325,0,0,0,300,0,0,1.25202576911831e-05,2.22497730828359e-05
1375,0,0,0,300.0738,0,0,0,0
1425,0,0,0,300.2238,0,0,0,0
1475,0,0,0,300.3738,0,0,0,0
1525,0,0,0,300.5238,0,0,0,0
1575,0,0,0,300.6738,0,0,0,0
1625,0,0,0,300.8238,0,0,0,0
1675,0,0,0,300.9738,0,0,0,0
1725,0,0,0,301.1238,0,0,0,0
1775,0,0,0,301.2738,0,0,0,0
1825,0,0,0,301.4238,0,0,0,0
1875,0,0,0,301.5738,0,0,0,0
1925,0,0,0,301.7238,0,0,0,0
1975,0,0,0,301.8738,0,0,0,0
2025,0,0,0,302.0238,0,0,0,0
2075,0,0,0,302.1738,0,0,0,0
2125,0,0,0,302.3238,0,0,0,0
2175,0,0,0,302.4738,0,0,0,0
2225,0,0,0,302.6238,0,0,0,0
2275,0,0,0,302.7738,0,0,0,0
2325,0,0,0,302.9238,0,0,0,0
2375,0,0,0,303.0738,0,0,0,0
