[compile] four-rank GABLS1 y-slab ready in 13.045s
step=1100 time=0.2587/9h CFL=0.7000 CFLnu=0.0846 divL2=1.820e-04 Q0=-1.757e-03 theta_budget=1.404e-07
step=1200 time=0.2791/9h CFL=0.7000 CFLnu=0.0811 divL2=1.786e-04 Q0=-1.777e-03 theta_budget=9.231e-08
step=1300 time=0.3003/9h CFL=0.7000 CFLnu=0.0986 divL2=1.755e-04 Q0=-1.893e-03 theta_budget=3.210e-08
step=1400 time=0.3221/9h CFL=0.7000 CFLnu=0.0914 divL2=1.731e-04 Q0=-1.988e-03 theta_budget=1.067e-08
step=1500 time=0.3445/9h CFL=0.7000 CFLnu=0.0859 divL2=1.685e-04 Q0=-2.058e-03 theta_budget=4.595e-08
step=1600 time=0.3676/9h CFL=0.7000 CFLnu=0.1032 divL2=1.670e-04 Q0=-2.048e-03 theta_budget=1.057e-07
step=1700 time=0.3895/9h CFL=0.7000 CFLnu=0.0912 divL2=1.656e-04 Q0=-2.122e-03 theta_budget=1.190e-07
step=1800 time=0.4128/9h CFL=0.7000 CFLnu=0.0837 divL2=1.633e-04 Q0=-2.292e-03 theta_budget=2.203e-08
step=1900 time=0.4363/9h CFL=0.7000 CFLnu=0.0911 divL2=1.617e-04 Q0=-2.387e-03 theta_budget=4.512e-08
step=2000 time=0.4595/9h CFL=0.7000 CFLnu=0.0785 divL2=1.604e-04 Q0=-2.470e-03 theta_budget=2.731e-09
step=2100 time=0.4824/9h CFL=0.7000 CFLnu=0.0787 divL2=1.617e-04 Q0=-2.522e-03 theta_budget=5.356e-08
step=2200 time=0.5057/9h CFL=0.7000 CFLnu=0.0727 divL2=1.634e-04 Q0=-2.672e-03 theta_budget=9.744e-08
step=2300 time=0.5285/9h CFL=0.7000 CFLnu=0.0853 divL2=1.654e-04 Q0=-2.728e-03 theta_budget=9.995e-08
step=2400 time=0.5513/9h CFL=0.7000 CFLnu=0.0619 divL2=1.635e-04 Q0=-2.824e-03 theta_budget=7.601e-08
step=2500 time=0.5732/9h CFL=0.7000 CFLnu=0.0676 divL2=1.666e-04 Q0=-2.922e-03 theta_budget=2.135e-08
step=2600 time=0.5950/9h CFL=0.7000 CFLnu=0.0654 divL2=1.665e-04 Q0=-3.024e-03 theta_budget=9.200e-09
step=2700 time=0.6170/9h CFL=0.7000 CFLnu=0.0848 divL2=1.664e-04 Q0=-3.336e-03 theta_budget=1.541e-08
step=2800 time=0.6385/9h CFL=0.7000 CFLnu=0.0841 divL2=1.676e-04 Q0=-3.447e-03 theta_budget=6.639e-08
step=2900 time=0.6607/9h CFL=0.7000 CFLnu=0.0648 divL2=1.662e-04 Q0=-3.463e-03 theta_budget=9.032e-08
step=3000 time=0.6830/9h CFL=0.7000 CFLnu=0.0792 divL2=1.675e-04 Q0=-3.582e-03 theta_budget=4.600e-08
step=3100 time=0.7049/9h CFL=0.7000 CFLnu=0.0715 divL2=1.665e-04 Q0=-3.538e-03 theta_budget=1.865e-08
step=3200 time=0.7275/9h CFL=0.7000 CFLnu=0.0755 divL2=1.664e-04 Q0=-3.661e-03 theta_budget=2.077e-08
step=3300 time=0.7501/9h CFL=0.7000 CFLnu=0.0641 divL2=1.660e-04 Q0=-3.688e-03 theta_budget=1.013e-08
step=3400 time=0.7731/9h CFL=0.7000 CFLnu=0.0715 divL2=1.663e-04 Q0=-3.807e-03 theta_budget=7.209e-08
step=3500 time=0.7957/9h CFL=0.7000 CFLnu=0.0721 divL2=1.651e-04 Q0=-3.889e-03 theta_budget=3.938e-08
step=3600 time=0.8184/9h CFL=0.7000 CFLnu=0.0838 divL2=1.660e-04 Q0=-3.998e-03 theta_budget=8.685e-08
step=3700 time=0.8411/9h CFL=0.7000 CFLnu=0.0813 divL2=1.688e-04 Q0=-4.069e-03 theta_budget=1.125e-08
