step=4 time=0.001s CFL=1.591e-05
step=8 time=0.002s CFL=8.064e-05
step=12 time=0.003s CFL=0.0002026
step=16 time=0.004s CFL=0.000392
step=20 time=0.005s CFL=0.0008087
step=24 time=0.006s CFL=0.001227
step=28 time=0.007s CFL=0.001806
step=32 time=0.008s CFL=0.002403
step=36 time=0.009s CFL=0.002991
step=40 time=0.01s CFL=0.003534
step=44 time=0.011s CFL=0.004157
step=48 time=0.012s CFL=0.004913
step=52 time=0.013s CFL=0.005678
step=56 time=0.014s CFL=0.006305
step=60 time=0.015s CFL=0.007486
step=64 time=0.016s CFL=0.01011
step=68 time=0.017s CFL=0.01023
step=72 time=0.018s CFL=0.0151
step=76 time=0.019s CFL=0.01621
step=80 time=0.02s CFL=0.01821
step=84 time=0.021s CFL=0.01942
step=88 time=0.022s CFL=0.02303
step=92 time=0.023s CFL=0.02529
step=96 time=0.024s CFL=0.02722
step=100 time=0.025s CFL=0.02859
step=104 time=0.026s CFL=0.03058
step=108 time=0.027s CFL=0.0335
step=112 time=0.028s CFL=0.03623
step=116 time=0.029s CFL=0.03663
step=120 time=0.03s CFL=0.03753
step=124 time=0.031s CFL=0.03844
step=128 time=0.032s CFL=0.03957
step=132 time=0.033s CFL=0.04013
step=136 time=0.034s CFL=0.03475
step=140 time=0.035s CFL=0.03409
step=144 time=0.036s CFL=0.03918
step=148 time=0.037s CFL=0.04248
step=152 time=0.038s CFL=0.04292
step=156 time=0.039s CFL=0.04296
step=160 time=0.04s CFL=0.0428
step=164 time=0.041s CFL=0.04279
step=168 time=0.042s CFL=0.04326
step=172 time=0.043s CFL=0.04354
step=176 time=0.044s CFL=0.0439
step=180 time=0.045s CFL=0.04431
step=184 time=0.046s CFL=0.04489
step=188 time=0.0470001s CFL=0.04521
step=192 time=0.0480001s CFL=0.04551
step=196 time=0.0490001s CFL=0.04566
step=200 time=0.0500001s CFL=0.04575
step=204 time=0.0510001s CFL=0.04577
step=208 time=0.0520001s CFL=0.04598
step=212 time=0.0530001s CFL=0.04627
step=216 time=0.0540001s CFL=0.04674
step=220 time=0.0550001s CFL=0.04663
step=224 time=0.0560001s CFL=0.04598
step=228 time=0.0570001s CFL=0.04583
step=232 time=0.0580001s CFL=0.04573
step=236 time=0.0590001s CFL=0.04617
step=240 time=0.0600001s CFL=0.04649
step=244 time=0.0610001s CFL=0.04663
step=248 time=0.0620001s CFL=0.0463
step=252 time=0.0630001s CFL=0.04639
step=256 time=0.0640001s CFL=0.04619
step=260 time=0.065s CFL=0.04598
step=264 time=0.066s CFL=0.04647
step=268 time=0.067s CFL=0.0462
step=272 time=0.068s CFL=0.04597
step=276 time=0.069s CFL=0.0459
step=280 time=0.07s CFL=0.0458
step=284 time=0.071s CFL=0.04571
step=288 time=0.072s CFL=0.04563
step=292 time=0.0729999s CFL=0.04604
step=296 time=0.0739999s CFL=0.04656
step=300 time=0.0749999s CFL=0.04629
step=304 time=0.0759999s CFL=0.04571
step=308 time=0.0769999s CFL=0.04538
step=312 time=0.0779999s CFL=0.04508
step=316 time=0.0789999s CFL=0.04492
step=320 time=0.0799999s CFL=0.044
step=324 time=0.0809998s CFL=0.04354
step=328 time=0.0819998s CFL=0.04363
step=332 time=0.0829998s CFL=0.04364
step=336 time=0.0839998s CFL=0.04358
step=340 time=0.0849998s CFL=0.04349
step=344 time=0.0859998s CFL=0.04342
step=348 time=0.0869998s CFL=0.04331
step=352 time=0.0879998s CFL=0.0432
step=356 time=0.0889997s CFL=0.0431
step=360 time=0.0899997s CFL=0.0429
step=364 time=0.0909997s CFL=0.0428
step=368 time=0.0919997s CFL=0.0427
step=372 time=0.0929997s CFL=0.04266
step=376 time=0.0939997s CFL=0.04256
step=380 time=0.0949997s CFL=0.04244
step=384 time=0.0959997s CFL=0.04227
step=388 time=0.0969996s CFL=0.04217
step=392 time=0.0979996s CFL=0.04213
step=396 time=0.0989996s CFL=0.0429
step=400 time=0.0999996s CFL=0.04297
step=404 time=0.101s CFL=0.04257
step=408 time=0.102s CFL=0.04227
step=412 time=0.103s CFL=0.04206
step=416 time=0.104s CFL=0.04192
step=420 time=0.105s CFL=0.04178
step=424 time=0.106s CFL=0.04166
step=428 time=0.107s CFL=0.04152
step=432 time=0.107999s CFL=0.04142
step=436 time=0.108999s CFL=0.04146
step=440 time=0.109999s CFL=0.04172
step=444 time=0.110999s CFL=0.0417
step=448 time=0.111999s CFL=0.0414
step=452 time=0.112999s CFL=0.04049
step=456 time=0.113999s CFL=0.03965
step=460 time=0.114999s CFL=0.03931
step=464 time=0.115999s CFL=0.03932
step=468 time=0.116999s CFL=0.03933
step=472 time=0.117999s CFL=0.03918
step=476 time=0.118999s CFL=0.03878
step=480 time=0.119999s CFL=0.03796
step=484 time=0.120999s CFL=0.03653
step=488 time=0.121999s CFL=0.03501
step=492 time=0.122999s CFL=0.03551
step=496 time=0.123999s CFL=0.03636
step=500 time=0.124999s CFL=0.05756
step=504 time=0.125999s CFL=0.0517
step=508 time=0.126999s CFL=0.03969
step=512 time=0.127999s CFL=0.03692
step=516 time=0.128999s CFL=0.03657
step=520 time=0.129999s CFL=0.03647
step=524 time=0.130999s CFL=0.0364
step=528 time=0.131999s CFL=0.03633
step=532 time=0.132999s CFL=0.0362
step=536 time=0.133999s CFL=0.03609
step=540 time=0.134999s CFL=0.03589
step=544 time=0.135999s CFL=0.03577
step=548 time=0.136999s CFL=0.03572
step=552 time=0.137999s CFL=0.03565
step=556 time=0.138999s CFL=0.0356
step=560 time=0.139999s CFL=0.03582
step=564 time=0.140999s CFL=0.03591
step=568 time=0.141999s CFL=0.03584
step=572 time=0.142999s CFL=0.03575
step=576 time=0.143999s CFL=0.03566
step=580 time=0.144999s CFL=0.03562
step=584 time=0.145999s CFL=0.03556
step=588 time=0.146999s CFL=0.0355
step=592 time=0.147999s CFL=0.03542
step=596 time=0.148999s CFL=0.03537
step=600 time=0.149999s CFL=0.03525
step=604 time=0.150999s CFL=0.03499
