Generating Mann box [4096, 64, 128]; advection=3.3108 m/s, period=115.984 s
Measured mean/TI profiles calibrated; constructing open AD-BEM simulation
step=100 time=0.125s CFL=0.2619
step=200 time=0.25s CFL=0.2502
step=300 time=0.375s CFL=0.2409
step=400 time=0.5s CFL=0.2343
step=500 time=0.625s CFL=0.2345
step=600 time=0.75s CFL=0.2514
step=700 time=0.875s CFL=0.2529
step=720 time=0.9s CFL=0.2501
step=820 time=1.025s CFL=0.247
step=920 time=1.15s CFL=0.2454
step=1020 time=1.275s CFL=0.2439
step=1120 time=1.4s CFL=0.2435
step=1220 time=1.525s CFL=0.2451
step=1320 time=1.65s CFL=0.2359
step=1420 time=1.775s CFL=0.2556
step=1440 time=1.8s CFL=0.2537
step=1540 time=1.925s CFL=0.2552
step=1640 time=2.05s CFL=0.2498
step=1740 time=2.175s CFL=0.2514
step=1840 time=2.3s CFL=0.2473
step=1940 time=2.425s CFL=0.2549
step=2000 time=2.5s CFL=0.2595
step=2100 time=2.625s CFL=0.261
step=2160 time=2.7s CFL=0.2616
step=2260 time=2.825s CFL=0.283
step=2360 time=2.95s CFL=0.2971
step=2460 time=3.075s CFL=0.3025
step=2560 time=3.2s CFL=0.3071
step=2660 time=3.325s CFL=0.2989
step=2760 time=3.45s CFL=0.2945
step=2860 time=3.575s CFL=0.2812
step=2880 time=3.6s CFL=0.2791
step=2980 time=3.725s CFL=0.2878
step=3080 time=3.85s CFL=0.2763
step=3180 time=3.975s CFL=0.2856
step=3280 time=4.1s CFL=0.2897
step=3380 time=4.225s CFL=0.2921
step=3480 time=4.35s CFL=0.2918
step=3580 time=4.475s CFL=0.2925
step=3600 time=4.5s CFL=0.296
step=3700 time=4.625s CFL=0.2961
step=3800 time=4.75s CFL=0.2951
step=3900 time=4.875s CFL=0.2916
step=4000 time=5s CFL=0.2989
step=4100 time=5.125s CFL=0.3184
step=4200 time=5.25s CFL=0.3501
step=4300 time=5.375s CFL=0.3371
step=4320 time=5.4s CFL=0.334
step=4420 time=5.525s CFL=0.3148
step=4520 time=5.65s CFL=0.3136
step=4620 time=5.775s CFL=0.3379
step=4720 time=5.9s CFL=0.3398
step=4820 time=6.025s CFL=0.3239
step=4920 time=6.15s CFL=0.3195
step=5020 time=6.275s CFL=0.3418
step=5040 time=6.3s CFL=0.3358
step=5140 time=6.425s CFL=0.3244
step=5240 time=6.55s CFL=0.3435
step=5340 time=6.675s CFL=0.3616
step=5440 time=6.8s CFL=0.3583
step=5540 time=6.925s CFL=0.3513
step=5640 time=7.05s CFL=0.3429
step=5740 time=7.175s CFL=0.3464
step=5760 time=7.2s CFL=0.3402
step=5860 time=7.325s CFL=0.3427
step=5960 time=7.45s CFL=0.3497
step=6000 time=7.5s CFL=0.3568
step=6100 time=7.625s CFL=0.3578
step=6200 time=7.75s CFL=0.3761
step=6300 time=7.875s CFL=0.3781
step=6400 time=8s CFL=0.371
step=6480 time=8.1s CFL=0.3481
step=6580 time=8.225s CFL=0.3498
step=6680 time=8.35s CFL=0.3456
step=6780 time=8.475s CFL=0.3331
step=6880 time=8.6s CFL=0.3313
step=6980 time=8.725s CFL=0.3298
step=7080 time=8.85s CFL=0.3256
step=7180 time=8.975s CFL=0.328
step=7200 time=9s CFL=0.3291
step=7300 time=9.125s CFL=0.3446
step=7400 time=9.25s CFL=0.3372
step=7500 time=9.375s CFL=0.3505
step=7600 time=9.5s CFL=0.3591
step=7700 time=9.625s CFL=0.3521
step=7800 time=9.75s CFL=0.3283
step=7900 time=9.875s CFL=0.3277
step=7920 time=9.9s CFL=0.3286
step=8000 time=10s CFL=0.343
step=8100 time=10.125s CFL=0.3315
step=8200 time=10.25s CFL=0.3271
step=8300 time=10.375s CFL=0.3256
step=8400 time=10.5s CFL=0.3187
step=8500 time=10.625s CFL=0.3146
step=8600 time=10.75s CFL=0.2993
step=8640 time=10.8s CFL=0.313
step=8740 time=10.925s CFL=0.3173
step=8840 time=11.05s CFL=0.3361
step=8940 time=11.175s CFL=0.3291
step=9040 time=11.3s CFL=0.3263
step=9140 time=11.425s CFL=0.3415
step=9240 time=11.55s CFL=0.3234
step=9340 time=11.675s CFL=0.3227
step=9360 time=11.7s CFL=0.3173
step=9460 time=11.825s CFL=0.3421
step=9560 time=11.95s CFL=0.3439
step=9660 time=12.075s CFL=0.3281
step=9760 time=12.2s CFL=0.3425
step=9860 time=12.325s CFL=0.326
step=9960 time=12.45s CFL=0.323
step=10000 time=12.5s CFL=0.3339
step=10080 time=12.6s CFL=0.3367
step=10180 time=12.725s CFL=0.3349
step=10280 time=12.85s CFL=0.3279
step=10380 time=12.975s CFL=0.3205
step=10480 time=13.1s CFL=0.3153
step=10580 time=13.225s CFL=0.3218
step=10680 time=13.35s CFL=0.3223
step=10780 time=13.475s CFL=0.3302
step=10800 time=13.5s CFL=0.3248
step=10900 time=13.625s CFL=0.3147
step=11000 time=13.75s CFL=0.3282
step=11100 time=13.875s CFL=0.3512
step=11200 time=14s CFL=0.3319
step=11300 time=14.125s CFL=0.371
step=11400 time=14.25s CFL=0.3565
step=11500 time=14.375s CFL=0.3479
step=11520 time=14.4s CFL=0.3467
step=11620 time=14.525s CFL=0.3779
step=11720 time=14.65s CFL=0.3444
step=11820 time=14.775s CFL=0.3324
step=11920 time=14.9s CFL=0.3505
step=12000 time=15s CFL=0.3661
step=12100 time=15.125s CFL=0.3501
step=12200 time=15.25s CFL=0.3496
step=12240 time=15.3s CFL=0.3658
step=12340 time=15.425s CFL=0.3676
step=12440 time=15.55s CFL=0.3726
step=12540 time=15.675s CFL=0.335
step=12640 time=15.8s CFL=0.3663
step=12740 time=15.925s CFL=0.3612
step=12840 time=16.05s CFL=0.3539
step=12940 time=16.175s CFL=0.3654
step=12960 time=16.2s CFL=0.3638
step=13060 time=16.325s CFL=0.3401
step=13160 time=16.45s CFL=0.3216
step=13260 time=16.575s CFL=0.3311
step=13360 time=16.7s CFL=0.3291
step=13460 time=16.825s CFL=0.327
step=13560 time=16.95s CFL=0.3287
step=13660 time=17.075s CFL=0.3489
step=13680 time=17.1s CFL=0.3623
step=13780 time=17.225s CFL=0.3626
step=13880 time=17.35s CFL=0.3415
step=13980 time=17.475s CFL=0.3646
step=14000 time=17.5s CFL=0.3707
step=14100 time=17.625s CFL=0.3489
step=14200 time=17.75s CFL=0.351
step=14300 time=17.875s CFL=0.3577
step=14400 time=18s CFL=0.3598
step=14500 time=18.125s CFL=0.3695
step=14600 time=18.25s CFL=0.3712
step=14700 time=18.375s CFL=0.384
step=14800 time=18.5s CFL=0.3844
step=14900 time=18.625s CFL=0.3663
step=15000 time=18.75s CFL=0.375
step=15100 time=18.875s CFL=0.3911
step=15120 time=18.9s CFL=0.3872
step=15220 time=19.025s CFL=0.3942
step=15320 time=19.15s CFL=0.3729
step=15420 time=19.275s CFL=0.3559
step=15520 time=19.4s CFL=0.3616
step=15620 time=19.525s CFL=0.3579
step=15720 time=19.65s CFL=0.3828
step=15820 time=19.775s CFL=0.3778
step=15840 time=19.8s CFL=0.3686
step=15940 time=19.925s CFL=0.3367
step=16000 time=20s CFL=0.35
step=16100 time=20.125s CFL=0.3336
step=16200 time=20.25s CFL=0.3291
step=16300 time=20.375s CFL=0.3338
step=16400 time=20.5s CFL=0.3197
step=16500 time=20.625s CFL=0.3151
step=16560 time=20.7s CFL=0.309
step=16660 time=20.825s CFL=0.3241
step=16760 time=20.95s CFL=0.3363
step=16860 time=21.075s CFL=0.3329
step=16960 time=21.2s CFL=0.3317
step=17060 time=21.325s CFL=0.3425
step=17160 time=21.45s CFL=0.3487
step=17260 time=21.575s CFL=0.3194
step=17280 time=21.6s CFL=0.3303
step=17380 time=21.725s CFL=0.3249
step=17480 time=21.85s CFL=0.3621
step=17580 time=21.975s CFL=0.3437
step=17680 time=22.1s CFL=0.3424
step=17780 time=22.225s CFL=0.3331
step=17880 time=22.35s CFL=0.349
step=17980 time=22.475s CFL=0.3432
step=18000 time=22.5s CFL=0.3423
step=18100 time=22.625s CFL=0.3385
step=18200 time=22.75s CFL=0.3738
step=18300 time=22.875s CFL=0.3589
step=18400 time=23s CFL=0.3466
step=18500 time=23.125s CFL=0.3523
step=18600 time=23.25s CFL=0.3329
step=18700 time=23.375s CFL=0.3484
step=18720 time=23.4s CFL=0.3468
step=18820 time=23.525s CFL=0.3716
step=18920 time=23.65s CFL=0.3499
step=19020 time=23.775s CFL=0.3451
step=19120 time=23.9s CFL=0.3253
step=19220 time=24.025s CFL=0.3373
step=19320 time=24.15s CFL=0.3193
step=19420 time=24.275s CFL=0.3304
step=19440 time=24.3s CFL=0.3354
step=19540 time=24.425s CFL=0.3385
step=19640 time=24.55s CFL=0.3338
