------- AeroDyn blade geometry: NREL 5 MW reference distribution ---------------
19 NumBlNds
BlSpn  BlCrvAC BlSwpAC BlCrvAng BlTwist BlChord BlAFID
(m)    (m)     (m)     (deg)    (deg)   (m)     (-)
0.0000  0.0 0.0 0.0 13.308 3.542 1
1.3667  0.0 0.0 0.0 13.308 3.542 1
4.1000  0.0 0.0 0.0 13.308 3.854 1
6.8333  0.0 0.0 0.0 13.308 4.167 2
10.2500 0.0 0.0 0.0 13.308 4.557 2
14.3500 0.0 0.0 0.0 11.480 4.652 2
18.4500 0.0 0.0 0.0 10.162 4.458 2
22.5500 0.0 0.0 0.0  9.011 4.249 2
26.6500 0.0 0.0 0.0  7.795 4.007 2
30.7500 0.0 0.0 0.0  6.544 3.748 2
34.8500 0.0 0.0 0.0  5.361 3.502 2
38.9500 0.0 0.0 0.0  4.188 3.256 2
43.0500 0.0 0.0 0.0  3.125 3.010 2
47.1500 0.0 0.0 0.0  2.319 2.764 2
51.2500 0.0 0.0 0.0  1.526 2.518 2
54.6667 0.0 0.0 0.0  0.863 2.313 2
57.4000 0.0 0.0 0.0  0.370 2.086 2
60.1333 0.0 0.0 0.0  0.106 1.419 2
61.5000 0.0 0.0 0.0  0.106 1.419 2
